y_pred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,predicted_TOTAL_ELEC
693.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.036
84.458015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.458015
84.11957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.11957
2443.1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.1743
2445.4038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445.4038
1015.9056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.9056
788.04553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.04553
851.8261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.8261
201.46748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.46748
606.60815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.60815
1230.8037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.8037
555.72217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.72217
807.2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.2184
799.41064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.41064
3391.0847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3391.0847
171.11894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.11894
2744.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744.0364
408.38034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.38034
2812.1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812.1309
1116.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.15
406.86325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.86325
1806.8407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806.8407
645.9383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.9383
204.36925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.36925
466.2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.2168
5283.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283.844
821.5941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.5941
185.8238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.8238
83.31826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.31826
613.41907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.41907
522.9101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.9101
72.20044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.20044
1071.5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.5002
4.8646398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8646398
133.85474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.85474
2448.6196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448.6196
2256.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256.3022
1952.8071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.8071
169.01492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.01492
1657.2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.2932
163.78143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.78143
413.18127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.18127
3196.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3196.113
579.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.5556
1433.4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433.4996
2385.9585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.9585
2209.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209.5496
1179.5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.5337
487.33163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.33163
1436.7147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436.7147
965.84827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.84827
569.0718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0718
571.98016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.98016
795.71893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.71893
1121.7579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121.7579
451.43237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.43237
720.8068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.8068
700.0856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0856
519.16504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.16504
250.68402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.68402
923.5901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.5901
1005.47687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.47687
1820.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820.7035
20745.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20745.486
489.80542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.80542
3406.1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406.1443
814.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.057
121.152374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.152374
641.73444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.73444
112.48134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.48134
6683.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683.748
1377.8069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.8069
174.11476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.11476
1607.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607.574
2378.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2378.516
7663.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7663.847
4501.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4501.413
1058.4944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.4944
266.4525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.4525
944.86774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.86774
68.472305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.472305
103.13221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.13221
2422.3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.3884
1757.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.0299
5148.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148.366
33.036083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.036083
2118.0808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.0808
504.09027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.09027
3348.5713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3348.5713
3554.4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554.4644
573.5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.5122
969.8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.8092
268.87827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.87827
169.10648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.10648
562.88824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.88824
1826.9904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826.9904
3979.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979.0024
178.33827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.33827
6567.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6567.401
6570.5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6570.5024
1253.2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.2733
5713.3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713.3936
1018.92706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.92706
136.51614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.51614
2327.1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327.1584
3606.9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3606.9812
2305.1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.1555
2286.5173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286.5173
893.39185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.39185
4135.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135.914
4127.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4127.362
878.3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.3185
861.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.107
1569.8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.8538
628.67737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.67737
2556.1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556.1733
820.21533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.21533
820.21533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.21533
1296.2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.2565
560.94434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.94434
814.3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.3695
178.1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.1903
2000.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.54
150.96216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.96216
3555.9802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555.9802
149.01846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.01846
458.24542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.24542
169.41661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.41661
169.83382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.83382
89.78936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.78936
893.3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.3897
526.6321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.6321
804.43414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.43414
8217.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8217.43
1483.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483.293
815.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.288
341.39227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.39227
2756.1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.1235
2858.7935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2858.7935
1082.0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.0247
587.9685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.9685
264.2123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.2123
776.1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.1249
2531.9395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531.9395
1082.9397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.9397
23.092068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.092068
1002.4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.4923
1604.5371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604.5371
2338.6335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338.6335
7150.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150.833
117.82789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.82789
118.28483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.28483
174.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.671
324.49774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.49774
